theta,Stator,Rotor,Intersect
0,2,43,86
1.00278551532033,2,43,86
2.00557103064067,2,43,86
3.008356545961,2,43,86
4.01114206128134,2,43,86
5.01392757660167,2,43,86
6.01671309192201,2,43,86
7.01949860724234,2,43,86
8.02228412256267,2,43,86
9.02506963788301,2,43,86
10.0278551532033,3,43,129
11.0306406685237,3,43,129
12.033426183844,3,43,129
13.0362116991643,3,43,129
14.0389972144847,3,43,129
15.041782729805,3,47,141
16.0445682451253,3,47,141
17.0473537604457,3,47,141
18.050139275766,3,47,141
19.0529247910864,3,47,141
20.0557103064067,3,47,141
21.058495821727,3,47,141
22.0612813370474,3,47,141
23.0640668523677,3,47,141
24.066852367688,3,47,141
25.0696378830084,3,47,141
26.0724233983287,3,47,141
27.075208913649,3,47,141
28.0779944289694,3,47,141
29.0807799442897,3,47,141
30.08356545961,3,47,141
31.0863509749304,3,47,141
32.0891364902507,3,47,141
33.091922005571,3,47,141
34.0947075208914,3,47,141
35.0974930362117,3,47,141
36.100278551532,3,47,141
37.1030640668524,3,47,141
38.1058495821727,3,47,141
39.108635097493,3,47,141
40.1114206128134,5,47,235
41.1142061281337,5,47,235
42.116991643454,5,47,235
43.1197771587744,5,47,235
44.1225626740947,5,47,235
45.125348189415,5,47,235
46.1281337047354,5,47,235
47.1309192200557,5,47,235
48.133704735376,5,47,235
49.1364902506964,5,47,235
50.1392757660167,5,47,235
51.142061281337,5,47,235
52.1448467966574,5,47,235
53.1476323119777,5,47,235
54.150417827298,5,47,235
55.1532033426184,5,47,235
56.1559888579387,5,47,235
57.158774373259,5,47,235
58.1615598885794,5,47,235
59.1643454038997,5,47,235
60.1671309192201,5,47,235
61.1699164345404,5,47,235
62.1727019498607,5,47,235
63.1754874651811,5,47,235
64.1782729805014,5,47,235
65.1810584958217,5,47,235
66.1838440111421,5,47,235
67.1866295264624,5,47,235
68.1894150417827,5,47,235
69.1922005571031,5,47,235
70.1949860724234,5,47,235
71.1977715877437,5,47,235
72.2005571030641,5,47,235
73.2033426183844,5,47,235
74.2061281337047,5,47,235
75.2089136490251,5,47,235
76.2116991643454,5,47,235
77.2144846796657,5,47,235
78.2172701949861,5,47,235
79.2200557103064,5,47,235
80.2228412256267,5,47,235
81.2256267409471,5,47,235
82.2284122562674,5,47,235
83.2311977715877,5,47,235
84.2339832869081,5,47,235
85.2367688022284,5,47,235
86.2395543175488,5,47,235
87.2423398328691,5,47,235
88.2451253481894,5,47,235
89.2479108635097,5,47,235
90.2506963788301,7,47,329
91.2534818941504,7,47,329
92.2562674094708,7,47,329
93.2590529247911,7,47,329
94.2618384401114,7,47,329
95.2646239554318,7,47,329
96.2674094707521,7,47,329
97.2701949860724,7,47,329
98.2729805013928,7,47,329
99.2757660167131,7,47,329
100.278551532033,7,47,329
101.281337047354,7,47,329
102.284122562674,7,47,329
103.286908077994,7,47,329
104.289693593315,7,47,329
105.292479108635,7,47,329
106.295264623955,7,47,329
107.298050139276,7,47,329
108.300835654596,7,47,329
109.303621169916,7,47,329
110.306406685237,7,47,329
111.309192200557,7,47,329
112.311977715877,7,47,329
113.314763231198,7,47,329
114.317548746518,7,47,329
115.320334261838,7,47,329
116.323119777159,7,47,329
117.325905292479,7,47,329
118.328690807799,7,47,329
119.33147632312,7,47,329
120.33426183844,11,47,517
121.33704735376,11,47,517
122.339832869081,11,47,517
123.342618384401,11,47,517
124.345403899721,11,47,517
125.348189415042,11,47,517
126.350974930362,11,47,517
127.353760445682,11,47,517
128.356545961003,11,47,517
129.359331476323,11,47,517
130.362116991643,13,47,611
131.364902506964,13,47,611
132.367688022284,13,47,611
133.370473537604,13,47,611
134.373259052925,13,47,611
135.376044568245,13,47,611
136.378830083565,13,47,611
137.381615598886,13,47,611
138.384401114206,13,47,611
139.387186629526,13,47,611
140.389972144847,13,47,611
141.392757660167,13,47,611
142.395543175487,13,47,611
143.398328690808,13,47,611
144.401114206128,13,47,611
145.403899721448,13,47,611
146.406685236769,13,47,611
147.409470752089,13,47,611
148.412256267409,13,47,611
149.41504178273,13,47,611
150.41782729805,13,47,611
151.42061281337,13,47,611
152.423398328691,13,47,611
153.426183844011,13,47,611
154.428969359331,13,47,611
155.431754874652,13,47,611
156.434540389972,13,47,611
157.437325905292,13,47,611
158.440111420613,13,47,611
159.442896935933,13,53,689
160.445682451253,17,53,901
161.448467966574,17,53,901
162.451253481894,17,53,901
163.454038997214,17,53,901
164.456824512535,17,53,901
165.459610027855,17,53,901
166.462395543175,17,53,901
167.465181058496,17,53,901
168.467966573816,17,53,901
169.470752089136,17,53,901
170.473537604457,17,53,901
171.476323119777,17,53,901
172.479108635098,17,53,901
173.481894150418,17,53,901
174.484679665738,17,53,901
175.487465181058,17,53,901
176.490250696379,17,53,901
177.493036211699,17,53,901
178.495821727019,17,53,901
179.49860724234,17,53,901
180.50139275766,17,53,901
181.504178272981,17,53,901
182.506963788301,17,53,901
183.509749303621,17,53,901
184.512534818942,17,53,901
185.515320334262,17,53,901
186.518105849582,17,53,901
187.520891364902,17,53,901
188.523676880223,17,53,901
189.526462395543,17,53,901
190.529247910864,17,53,901
191.532033426184,17,53,901
192.534818941504,17,53,901
193.537604456825,17,53,901
194.540389972145,17,53,901
195.543175487465,17,41,697
196.545961002786,17,41,697
197.548746518106,17,41,697
198.551532033426,17,41,697
199.554317548747,17,41,697
200.557103064067,17,41,697
201.559888579387,17,41,697
202.562674094708,17,41,697
203.565459610028,17,41,697
204.568245125348,17,41,697
205.571030640669,17,41,697
206.573816155989,17,41,697
207.576601671309,17,41,697
208.57938718663,17,41,697
209.58217270195,17,41,697
210.58495821727,19,41,779
211.587743732591,19,41,779
212.590529247911,19,41,779
213.593314763231,19,41,779
214.596100278552,19,41,779
215.598885793872,19,41,779
216.601671309192,19,41,779
217.604456824513,19,41,779
218.607242339833,19,41,779
219.610027855153,19,41,779
220.612813370474,19,41,779
221.615598885794,19,41,779
222.618384401114,19,41,779
223.621169916435,19,41,779
224.623955431755,19,41,779
